,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,genreId,BinProb
9619,28.0,20.0,54.0,12.0,28.0,12.0,3
9620,28.0,20.0,54.0,12.0,28.0,17.0,3
9623,28.0,20.0,54.0,12.0,28.0,11.0,10
9624,28.0,20.0,54.0,12.0,28.0,3.0,9
10628,74.0,34.0,36.0,86.0,4.0,11.0,17
10629,74.0,34.0,36.0,86.0,4.0,3.0,15
9626,28.0,20.0,54.0,12.0,28.0,4.0,7
9629,28.0,20.0,54.0,12.0,28.0,4.0,7
9637,28.0,20.0,54.0,12.0,28.0,16.0,14
13409,4.0,20.0,10.0,16.0,34.0,16.0,12
13410,4.0,20.0,10.0,16.0,34.0,4.0,1
9630,28.0,20.0,54.0,12.0,28.0,3.0,9
17544,4.0,46.0,58.0,4.0,58.0,3.0,5
9631,28.0,20.0,54.0,12.0,28.0,0.0,0
9632,28.0,20.0,54.0,12.0,28.0,11.0,10
50747,84.0,0.0,32.0,48.0,26.0,0.0,2
50748,84.0,0.0,32.0,48.0,26.0,11.0,17
9633,28.0,20.0,54.0,12.0,28.0,3.0,9
9634,28.0,20.0,54.0,12.0,28.0,9.0,12
9635,28.0,20.0,54.0,12.0,28.0,12.0,3
9636,28.0,20.0,54.0,12.0,28.0,3.0,9
9638,28.0,20.0,54.0,12.0,28.0,5.0,5
9639,28.0,20.0,54.0,12.0,28.0,19.0,3
9646,28.0,20.0,54.0,12.0,28.0,4.0,7
9640,28.0,20.0,54.0,12.0,28.0,0.0,0
9641,28.0,20.0,54.0,12.0,28.0,3.0,9
9642,28.0,20.0,54.0,12.0,28.0,8.0,15
61065,52.0,56.0,44.0,86.0,14.0,8.0,7
61066,52.0,56.0,44.0,86.0,14.0,3.0,14
61067,52.0,56.0,44.0,86.0,14.0,0.0,7
9643,28.0,20.0,54.0,12.0,28.0,3.0,9
9644,28.0,20.0,54.0,12.0,28.0,0.0,0
9645,28.0,20.0,54.0,12.0,28.0,3.0,9
55963,14.0,98.0,76.0,30.0,90.0,3.0,3
55986,14.0,98.0,76.0,30.0,90.0,0.0,12
9651,12.0,8.0,24.0,52.0,58.0,3.0,9
9652,12.0,8.0,24.0,52.0,58.0,16.0,9
9653,12.0,8.0,24.0,52.0,58.0,11.0,15
9655,12.0,8.0,24.0,52.0,58.0,15.0,9
9654,12.0,8.0,24.0,52.0,58.0,0.0,3
9658,12.0,8.0,24.0,52.0,58.0,3.0,9
21767,4.0,92.0,28.0,6.0,64.0,3.0,0
21768,4.0,92.0,28.0,6.0,64.0,0.0,3
9656,12.0,8.0,24.0,52.0,58.0,1.0,9
9657,12.0,8.0,24.0,52.0,58.0,10.0,6
9659,12.0,8.0,24.0,52.0,58.0,11.0,15
9660,12.0,8.0,24.0,52.0,58.0,3.0,9
9662,12.0,8.0,24.0,52.0,58.0,3.0,9
9664,12.0,8.0,24.0,52.0,58.0,13.0,12
9666,12.0,8.0,24.0,52.0,58.0,11.0,15
9682,12.0,8.0,24.0,52.0,58.0,3.0,9
55688,78.0,86.0,10.0,60.0,78.0,3.0,3
9683,12.0,8.0,24.0,52.0,58.0,4.0,3
9706,12.0,8.0,24.0,52.0,58.0,16.0,9
9725,12.0,8.0,24.0,52.0,58.0,3.0,9
9684,12.0,8.0,24.0,52.0,58.0,10.0,6
9685,12.0,8.0,24.0,52.0,58.0,0.0,3
9686,12.0,8.0,24.0,52.0,58.0,11.0,15
19091,80.0,38.0,90.0,36.0,22.0,0.0,7
19092,80.0,38.0,90.0,36.0,22.0,11.0,13
9687,12.0,8.0,24.0,52.0,58.0,0.0,3
9688,12.0,8.0,24.0,52.0,58.0,3.0,9
9689,12.0,8.0,24.0,52.0,58.0,5.0,11
30775,76.0,44.0,30.0,80.0,12.0,5.0,8
30776,76.0,44.0,30.0,80.0,12.0,3.0,13
30777,76.0,44.0,30.0,80.0,12.0,0.0,5
9690,12.0,8.0,24.0,52.0,58.0,3.0,9
67473,10.0,36.0,34.0,82.0,80.0,3.0,9
9691,12.0,8.0,24.0,52.0,58.0,9.0,11
9692,12.0,8.0,24.0,52.0,58.0,12.0,0
9693,12.0,8.0,24.0,52.0,58.0,13.0,12
9694,12.0,8.0,24.0,52.0,58.0,0.0,3
9695,12.0,8.0,24.0,52.0,58.0,3.0,9
9696,12.0,8.0,24.0,52.0,58.0,4.0,3
9697,12.0,8.0,24.0,52.0,58.0,11.0,15
9698,12.0,8.0,24.0,52.0,58.0,16.0,9
9699,12.0,8.0,24.0,52.0,58.0,3.0,9
9700,12.0,8.0,24.0,52.0,58.0,16.0,9
9701,12.0,8.0,24.0,52.0,58.0,3.0,9
71002,80.0,76.0,48.0,36.0,32.0,3.0,7
9702,12.0,8.0,24.0,52.0,58.0,13.0,12
46258,88.0,22.0,64.0,2.0,64.0,13.0,14
9703,12.0,8.0,24.0,52.0,58.0,15.0,9
9704,12.0,8.0,24.0,52.0,58.0,13.0,12
9705,12.0,8.0,24.0,52.0,58.0,2.0,12
66244,88.0,54.0,96.0,90.0,10.0,2.0,9
66245,88.0,54.0,96.0,90.0,10.0,13.0,9
66246,88.0,54.0,96.0,90.0,10.0,15.0,15
9707,12.0,8.0,24.0,52.0,58.0,7.0,6
9708,12.0,8.0,24.0,52.0,58.0,11.0,15
9709,12.0,8.0,24.0,52.0,58.0,3.0,9
9710,12.0,8.0,24.0,52.0,58.0,19.0,5
9711,12.0,8.0,24.0,52.0,58.0,5.0,11
9712,12.0,8.0,24.0,52.0,58.0,18.0,8
46168,10.0,6.0,94.0,30.0,74.0,18.0,7
46169,10.0,6.0,94.0,30.0,74.0,5.0,10
52134,46.0,0.0,92.0,52.0,44.0,5.0,7
52141,46.0,0.0,92.0,52.0,44.0,18.0,7
9713,12.0,8.0,24.0,52.0,58.0,3.0,9
56486,70.0,52.0,14.0,94.0,44.0,3.0,11
9714,12.0,8.0,24.0,52.0,58.0,3.0,9
9715,12.0,8.0,24.0,52.0,58.0,0.0,3
9724,12.0,8.0,24.0,52.0,58.0,3.0,9
9716,12.0,8.0,24.0,52.0,58.0,3.0,9
22959,10.0,34.0,14.0,50.0,54.0,3.0,7
9717,12.0,8.0,24.0,52.0,58.0,3.0,9
9718,12.0,8.0,24.0,52.0,58.0,13.0,12
9719,12.0,8.0,24.0,52.0,58.0,0.0,3
9720,12.0,8.0,24.0,52.0,58.0,3.0,9
9721,12.0,8.0,24.0,52.0,58.0,16.0,9
9722,12.0,8.0,24.0,52.0,58.0,3.0,9
9723,12.0,8.0,24.0,52.0,58.0,9.0,11
9726,12.0,8.0,24.0,52.0,58.0,11.0,15
9757,12.0,8.0,24.0,52.0,58.0,14.0,16
52484,88.0,56.0,58.0,32.0,20.0,11.0,12
52485,88.0,56.0,58.0,32.0,20.0,14.0,9
9727,12.0,8.0,24.0,52.0,58.0,7.0,6
9749,12.0,8.0,24.0,52.0,58.0,13.0,12
9855,12.0,8.0,24.0,52.0,58.0,12.0,0
9728,12.0,8.0,24.0,52.0,58.0,24.0,5
9745,12.0,8.0,24.0,52.0,58.0,16.0,9
9746,12.0,8.0,24.0,52.0,58.0,3.0,9
35082,70.0,6.0,56.0,6.0,50.0,24.0,5
35083,70.0,6.0,56.0,6.0,50.0,16.0,11
35084,70.0,6.0,56.0,6.0,50.0,3.0,8
9729,12.0,8.0,24.0,52.0,58.0,3.0,9
9730,12.0,8.0,24.0,52.0,58.0,4.0,3
9731,12.0,8.0,24.0,52.0,58.0,13.0,12
9732,12.0,8.0,24.0,52.0,58.0,4.0,3
9733,12.0,8.0,24.0,52.0,58.0,3.0,9
9734,12.0,8.0,24.0,52.0,58.0,2.0,12
9735,12.0,8.0,24.0,52.0,58.0,3.0,9
9736,12.0,8.0,24.0,52.0,58.0,11.0,15
23892,78.0,46.0,52.0,92.0,50.0,2.0,6
23893,78.0,46.0,52.0,92.0,50.0,3.0,13
23894,78.0,46.0,52.0,92.0,50.0,11.0,19
9737,12.0,8.0,24.0,52.0,58.0,3.0,9
63671,54.0,44.0,76.0,98.0,16.0,3.0,17
9738,12.0,8.0,24.0,52.0,58.0,3.0,9
9739,12.0,8.0,24.0,52.0,58.0,7.0,6
9740,12.0,8.0,24.0,52.0,58.0,13.0,12
9741,12.0,8.0,24.0,52.0,58.0,3.0,9
9742,12.0,8.0,24.0,52.0,58.0,13.0,12
9743,12.0,8.0,24.0,52.0,58.0,2.0,12
9744,12.0,8.0,24.0,52.0,58.0,9.0,11
9768,12.0,8.0,24.0,52.0,58.0,16.0,9
9747,12.0,8.0,24.0,52.0,58.0,3.0,9
46869,12.0,14.0,54.0,68.0,48.0,3.0,13
9748,12.0,8.0,24.0,52.0,58.0,16.0,9
9765,12.0,8.0,24.0,52.0,58.0,0.0,3
9766,12.0,8.0,24.0,52.0,58.0,4.0,3
45562,30.0,12.0,76.0,32.0,62.0,4.0,8
45571,30.0,12.0,76.0,32.0,62.0,16.0,11
45580,30.0,12.0,76.0,32.0,62.0,0.0,6
9750,12.0,8.0,24.0,52.0,58.0,16.0,9
9751,12.0,8.0,24.0,52.0,58.0,2.0,12
9752,12.0,8.0,24.0,52.0,58.0,3.0,9
9753,12.0,8.0,24.0,52.0,58.0,16.0,9
9754,12.0,8.0,24.0,52.0,58.0,3.0,9
13408,4.0,20.0,10.0,16.0,34.0,3.0,6
9755,12.0,8.0,24.0,52.0,58.0,3.0,9
9756,12.0,8.0,24.0,52.0,58.0,5.0,11
9758,12.0,8.0,24.0,52.0,58.0,14.0,16
9759,12.0,8.0,24.0,52.0,58.0,3.0,9
9760,12.0,8.0,24.0,52.0,58.0,4.0,3
9761,12.0,8.0,24.0,52.0,58.0,5.0,11
9762,12.0,8.0,24.0,52.0,58.0,9.0,11
37593,28.0,16.0,82.0,34.0,0.0,9.0,16
64336,18.0,64.0,62.0,74.0,92.0,9.0,6
9763,12.0,8.0,24.0,52.0,58.0,0.0,3
9764,12.0,8.0,24.0,52.0,58.0,11.0,15
40089,56.0,2.0,8.0,2.0,30.0,0.0,0
40090,56.0,2.0,8.0,2.0,30.0,11.0,12
9767,12.0,8.0,24.0,52.0,58.0,0.0,3
9769,12.0,8.0,24.0,52.0,58.0,14.0,16
9811,12.0,8.0,24.0,52.0,58.0,0.0,3
9770,12.0,8.0,24.0,52.0,58.0,11.0,15
9830,12.0,8.0,24.0,52.0,58.0,3.0,9
9771,12.0,8.0,24.0,52.0,58.0,11.0,15
70709,0.0,16.0,46.0,30.0,66.0,11.0,12
9772,12.0,8.0,24.0,52.0,58.0,3.0,9
9773,12.0,8.0,24.0,52.0,58.0,11.0,15
43904,66.0,48.0,32.0,30.0,40.0,11.0,12
43905,66.0,48.0,32.0,30.0,40.0,3.0,6
9774,12.0,8.0,24.0,52.0,58.0,3.0,9
9775,12.0,8.0,24.0,52.0,58.0,11.0,15
9776,12.0,8.0,24.0,52.0,58.0,13.0,12
9777,12.0,8.0,24.0,52.0,58.0,4.0,3
9778,12.0,8.0,24.0,52.0,58.0,12.0,0
9779,12.0,8.0,24.0,52.0,58.0,16.0,9
9780,12.0,8.0,24.0,52.0,58.0,3.0,9
9781,12.0,8.0,24.0,52.0,58.0,9.0,11
9782,12.0,8.0,24.0,52.0,58.0,11.0,15
9783,12.0,8.0,24.0,52.0,58.0,13.0,12
40896,10.0,90.0,20.0,84.0,96.0,9.0,4
40897,10.0,90.0,20.0,84.0,96.0,11.0,14
40898,10.0,90.0,20.0,84.0,96.0,13.0,4
9784,12.0,8.0,24.0,52.0,58.0,0.0,3
9785,12.0,8.0,24.0,52.0,58.0,11.0,15
43902,66.0,48.0,32.0,30.0,40.0,11.0,12
43903,66.0,48.0,32.0,30.0,40.0,0.0,3
9786,12.0,8.0,24.0,52.0,58.0,9.0,11
9787,12.0,8.0,24.0,52.0,58.0,3.0,9
9788,12.0,8.0,24.0,52.0,58.0,8.0,9
9789,12.0,8.0,24.0,52.0,58.0,3.0,9
25705,78.0,24.0,84.0,8.0,40.0,3.0,10
25706,78.0,24.0,84.0,8.0,40.0,8.0,11
9790,12.0,8.0,24.0,52.0,58.0,3.0,9
9791,12.0,8.0,24.0,52.0,58.0,11.0,15
9809,12.0,8.0,24.0,52.0,58.0,3.0,9
15776,86.0,0.0,44.0,62.0,54.0,3.0,13
15777,86.0,0.0,44.0,62.0,54.0,11.0,19
9792,12.0,8.0,24.0,52.0,58.0,10.0,6
9793,12.0,8.0,24.0,52.0,58.0,0.0,3
9794,12.0,8.0,24.0,52.0,58.0,3.0,9
9795,12.0,8.0,24.0,52.0,58.0,11.0,15
9796,12.0,8.0,24.0,52.0,58.0,3.0,9
9797,12.0,8.0,24.0,52.0,58.0,4.0,3
9798,12.0,8.0,24.0,52.0,58.0,1.0,9
9799,12.0,8.0,24.0,52.0,58.0,6.0,11
9801,12.0,8.0,24.0,52.0,58.0,10.0,6
9800,12.0,8.0,24.0,52.0,58.0,0.0,3
9812,12.0,8.0,24.0,52.0,58.0,14.0,16
9843,12.0,8.0,24.0,52.0,58.0,16.0,9
9802,12.0,8.0,24.0,52.0,58.0,2.0,12
9803,12.0,8.0,24.0,52.0,58.0,3.0,9
9804,12.0,8.0,24.0,52.0,58.0,9.0,11
19679,32.0,92.0,4.0,66.0,16.0,9.0,11
19680,32.0,92.0,4.0,66.0,16.0,3.0,7
19681,32.0,92.0,4.0,66.0,16.0,2.0,17
9805,12.0,8.0,24.0,52.0,58.0,10.0,6
9806,12.0,8.0,24.0,52.0,58.0,0.0,3
9807,12.0,8.0,24.0,52.0,58.0,3.0,9
9808,12.0,8.0,24.0,52.0,58.0,0.0,3
52890,28.0,80.0,72.0,52.0,34.0,0.0,8
9810,12.0,8.0,24.0,52.0,58.0,10.0,6
16504,60.0,76.0,90.0,30.0,74.0,10.0,8
35085,70.0,6.0,56.0,6.0,50.0,10.0,2
9813,12.0,8.0,24.0,52.0,58.0,1.0,9
9835,12.0,8.0,24.0,52.0,58.0,10.0,6
9836,12.0,8.0,24.0,52.0,58.0,15.0,9
9814,12.0,8.0,24.0,52.0,58.0,3.0,9
9815,12.0,8.0,24.0,52.0,58.0,16.0,9
9831,12.0,8.0,24.0,52.0,58.0,2.0,12
17734,6.0,66.0,18.0,74.0,26.0,3.0,9
17749,6.0,66.0,18.0,74.0,26.0,2.0,16
17750,6.0,66.0,18.0,74.0,26.0,16.0,8
68404,88.0,0.0,48.0,10.0,48.0,16.0,10
68405,88.0,0.0,48.0,10.0,48.0,3.0,9
68406,88.0,0.0,48.0,10.0,48.0,2.0,11
9816,12.0,8.0,24.0,52.0,58.0,2.0,12
9817,12.0,8.0,24.0,52.0,58.0,4.0,3
9818,12.0,8.0,24.0,52.0,58.0,16.0,9
9819,12.0,8.0,24.0,52.0,58.0,3.0,9
38079,46.0,30.0,2.0,76.0,98.0,3.0,6
9820,12.0,8.0,24.0,52.0,58.0,4.0,3
9821,12.0,8.0,24.0,52.0,58.0,13.0,12
9822,12.0,8.0,24.0,52.0,58.0,16.0,9
9823,12.0,8.0,24.0,52.0,58.0,13.0,12
9824,12.0,8.0,24.0,52.0,58.0,3.0,9
9825,12.0,8.0,24.0,52.0,58.0,11.0,15
9826,12.0,8.0,24.0,52.0,58.0,10.0,6
9827,12.0,8.0,24.0,52.0,58.0,4.0,3
9828,12.0,8.0,24.0,52.0,58.0,10.0,6
56503,70.0,52.0,14.0,94.0,44.0,10.0,16
9829,12.0,8.0,24.0,52.0,58.0,3.0,9
9832,12.0,8.0,24.0,52.0,58.0,3.0,9
9833,12.0,8.0,24.0,52.0,58.0,1.0,9
9834,12.0,8.0,24.0,52.0,58.0,0.0,3
9837,12.0,8.0,24.0,52.0,58.0,3.0,9
9838,12.0,8.0,24.0,52.0,58.0,9.0,11
9839,12.0,8.0,24.0,52.0,58.0,3.0,9
9840,12.0,8.0,24.0,52.0,58.0,4.0,3
9841,12.0,8.0,24.0,52.0,58.0,11.0,15
9842,12.0,8.0,24.0,52.0,58.0,3.0,9
37592,28.0,16.0,82.0,34.0,0.0,3.0,15
9844,12.0,8.0,24.0,52.0,58.0,0.0,3
9845,12.0,8.0,24.0,52.0,58.0,16.0,9
9853,12.0,8.0,24.0,52.0,58.0,3.0,9
9846,12.0,8.0,24.0,52.0,58.0,3.0,9
22552,92.0,14.0,68.0,34.0,64.0,3.0,10
9847,12.0,8.0,24.0,52.0,58.0,9.0,11
9848,12.0,8.0,24.0,52.0,58.0,12.0,0
18937,36.0,10.0,58.0,88.0,74.0,12.0,3
18970,36.0,10.0,58.0,88.0,74.0,9.0,12
9849,12.0,8.0,24.0,52.0,58.0,0.0,3
9850,12.0,8.0,24.0,52.0,58.0,11.0,15
9851,12.0,8.0,24.0,52.0,58.0,15.0,9
9852,12.0,8.0,24.0,52.0,58.0,3.0,9
9854,12.0,8.0,24.0,52.0,58.0,2.0,12
9856,12.0,8.0,24.0,52.0,58.0,16.0,9
9873,12.0,8.0,24.0,52.0,58.0,3.0,9
9857,12.0,8.0,24.0,52.0,58.0,4.0,3
9858,12.0,8.0,24.0,52.0,58.0,16.0,9
9874,12.0,8.0,24.0,52.0,58.0,3.0,9
42089,72.0,18.0,4.0,52.0,44.0,16.0,6
42090,72.0,18.0,4.0,52.0,44.0,4.0,7
42091,72.0,18.0,4.0,52.0,44.0,3.0,9
9859,12.0,8.0,24.0,52.0,58.0,0.0,3
9860,12.0,8.0,24.0,52.0,58.0,11.0,15
9861,12.0,8.0,24.0,52.0,58.0,4.0,3
9862,12.0,8.0,24.0,52.0,58.0,3.0,9
9863,12.0,8.0,24.0,52.0,58.0,0.0,3
9864,12.0,8.0,24.0,52.0,58.0,11.0,15
24710,6.0,38.0,28.0,52.0,24.0,11.0,11
24711,6.0,38.0,28.0,52.0,24.0,0.0,1
9865,12.0,8.0,24.0,52.0,58.0,3.0,9
71003,80.0,76.0,48.0,36.0,32.0,3.0,7
9866,12.0,8.0,24.0,52.0,58.0,0.0,3
9867,12.0,8.0,24.0,52.0,58.0,11.0,15
9868,12.0,8.0,24.0,52.0,58.0,19.0,5
24426,68.0,86.0,84.0,8.0,10.0,19.0,8
24427,68.0,86.0,84.0,8.0,10.0,11.0,6
24428,68.0,86.0,84.0,8.0,10.0,0.0,5
9869,12.0,8.0,24.0,52.0,58.0,10.0,6
9870,12.0,8.0,24.0,52.0,58.0,3.0,9
9871,12.0,8.0,24.0,52.0,58.0,11.0,15
9872,12.0,8.0,24.0,52.0,58.0,19.0,5
9875,12.0,8.0,24.0,52.0,58.0,3.0,9
57840,50.0,70.0,64.0,38.0,64.0,3.0,6
9876,12.0,8.0,24.0,52.0,58.0,16.0,9
9877,12.0,8.0,24.0,52.0,58.0,11.0,15
9895,12.0,8.0,24.0,52.0,58.0,3.0,9
9878,12.0,8.0,24.0,52.0,58.0,3.0,9
9879,12.0,8.0,24.0,52.0,58.0,17.0,2
9880,12.0,8.0,24.0,52.0,58.0,2.0,12
9881,12.0,8.0,24.0,52.0,58.0,11.0,15
9882,12.0,8.0,24.0,52.0,58.0,3.0,9
9883,12.0,8.0,24.0,52.0,58.0,2.0,12
9884,12.0,8.0,24.0,52.0,58.0,3.0,9
9885,12.0,8.0,24.0,52.0,58.0,11.0,15
9886,12.0,8.0,24.0,52.0,58.0,16.0,9
9942,12.0,8.0,24.0,52.0,58.0,3.0,9
9887,12.0,8.0,24.0,52.0,58.0,11.0,15
9896,12.0,8.0,24.0,52.0,58.0,19.0,5
21469,64.0,72.0,6.0,76.0,60.0,11.0,15
21470,64.0,72.0,6.0,76.0,60.0,19.0,11
9888,12.0,8.0,24.0,52.0,58.0,3.0,9
9889,12.0,8.0,24.0,52.0,58.0,20.0,16
9890,12.0,8.0,24.0,52.0,58.0,10.0,6
9891,12.0,8.0,24.0,52.0,58.0,11.0,15
9892,12.0,8.0,24.0,52.0,58.0,19.0,5
9893,12.0,8.0,24.0,52.0,58.0,3.0,9
9894,12.0,8.0,24.0,52.0,58.0,11.0,15
9897,12.0,8.0,24.0,52.0,58.0,11.0,15
18139,86.0,40.0,32.0,74.0,0.0,11.0,15
9898,12.0,8.0,24.0,52.0,58.0,3.0,9
9899,12.0,8.0,24.0,52.0,58.0,3.0,9
58836,32.0,60.0,52.0,54.0,32.0,3.0,10
9900,12.0,8.0,24.0,52.0,58.0,10.0,6
9901,12.0,8.0,24.0,52.0,58.0,12.0,0
9902,12.0,8.0,24.0,52.0,58.0,17.0,2
54242,38.0,52.0,92.0,2.0,60.0,17.0,4
54244,38.0,52.0,92.0,2.0,60.0,12.0,4
9903,12.0,8.0,24.0,52.0,58.0,0.0,3
9904,12.0,8.0,24.0,52.0,58.0,3.0,9
9905,12.0,8.0,24.0,52.0,58.0,11.0,15
30057,76.0,30.0,0.0,42.0,42.0,11.0,15
30058,76.0,30.0,0.0,42.0,42.0,0.0,1
30088,76.0,30.0,0.0,42.0,42.0,3.0,7
9906,12.0,8.0,24.0,52.0,58.0,0.0,3
9907,12.0,8.0,24.0,52.0,58.0,7.0,6
9909,12.0,8.0,24.0,52.0,58.0,11.0,15
9908,12.0,8.0,24.0,52.0,58.0,19.0,5
9920,12.0,8.0,24.0,52.0,58.0,11.0,15
9910,12.0,8.0,24.0,52.0,58.0,3.0,9
9911,12.0,8.0,24.0,52.0,58.0,19.0,5
9918,12.0,8.0,24.0,52.0,58.0,2.0,12
9912,12.0,8.0,24.0,52.0,58.0,10.0,6
9913,12.0,8.0,24.0,52.0,58.0,15.0,9
9914,12.0,8.0,24.0,52.0,58.0,3.0,9
9915,12.0,8.0,24.0,52.0,58.0,8.0,9
9916,12.0,8.0,24.0,52.0,58.0,9.0,11
9917,12.0,8.0,24.0,52.0,58.0,3.0,9
9919,12.0,8.0,24.0,52.0,58.0,8.0,9
9941,12.0,8.0,24.0,52.0,58.0,6.0,11
9966,12.0,8.0,24.0,52.0,58.0,3.0,9
12089,70.0,76.0,74.0,60.0,54.0,8.0,5
12090,70.0,76.0,74.0,60.0,54.0,6.0,12
12091,70.0,76.0,74.0,60.0,54.0,3.0,9
9921,12.0,8.0,24.0,52.0,58.0,13.0,12
9938,12.0,8.0,24.0,52.0,58.0,3.0,9
9939,12.0,8.0,24.0,52.0,58.0,7.0,6
34339,44.0,32.0,62.0,20.0,70.0,3.0,7
34340,44.0,32.0,62.0,20.0,70.0,7.0,6
34341,44.0,32.0,62.0,20.0,70.0,13.0,12
51127,46.0,30.0,38.0,86.0,34.0,7.0,7
51128,46.0,30.0,38.0,86.0,34.0,13.0,10
51249,46.0,30.0,38.0,86.0,34.0,3.0,13
9922,12.0,8.0,24.0,52.0,58.0,2.0,12
9923,12.0,8.0,24.0,52.0,58.0,3.0,9
9924,12.0,8.0,24.0,52.0,58.0,11.0,15
9925,12.0,8.0,24.0,52.0,58.0,2.0,12
9926,12.0,8.0,24.0,52.0,58.0,3.0,9
9927,12.0,8.0,24.0,52.0,58.0,15.0,9
9928,12.0,8.0,24.0,52.0,58.0,11.0,15
9929,12.0,8.0,24.0,52.0,58.0,16.0,9
9930,12.0,8.0,24.0,52.0,58.0,3.0,9
47081,46.0,20.0,58.0,34.0,66.0,3.0,9
9931,12.0,8.0,24.0,52.0,58.0,3.0,9
9932,12.0,8.0,24.0,52.0,58.0,10.0,6
9933,12.0,8.0,24.0,52.0,58.0,15.0,9
9934,12.0,8.0,24.0,52.0,58.0,2.0,12
9935,12.0,8.0,24.0,52.0,58.0,3.0,9
9936,12.0,8.0,24.0,52.0,58.0,9.0,11
40899,10.0,90.0,20.0,84.0,96.0,2.0,10
40900,10.0,90.0,20.0,84.0,96.0,3.0,4
40901,10.0,90.0,20.0,84.0,96.0,9.0,4
9937,12.0,8.0,24.0,52.0,58.0,3.0,9
9940,12.0,8.0,24.0,52.0,58.0,10.0,6
9943,12.0,8.0,24.0,52.0,58.0,8.0,9
10007,12.0,8.0,24.0,52.0,58.0,0.0,3
9944,12.0,8.0,24.0,52.0,58.0,3.0,9
9945,12.0,8.0,24.0,52.0,58.0,0.0,3
9946,12.0,8.0,24.0,52.0,58.0,3.0,9
9947,12.0,8.0,24.0,52.0,58.0,11.0,15
9948,12.0,8.0,24.0,52.0,58.0,6.0,11
9949,12.0,8.0,24.0,52.0,58.0,11.0,15
9950,12.0,8.0,24.0,52.0,58.0,8.0,9
9951,12.0,8.0,24.0,52.0,58.0,16.0,9
47809,90.0,56.0,36.0,10.0,24.0,16.0,9
47810,90.0,56.0,36.0,10.0,24.0,8.0,9
9952,12.0,8.0,24.0,52.0,58.0,3.0,9
9953,12.0,8.0,24.0,52.0,58.0,10.0,6
9954,12.0,8.0,24.0,52.0,58.0,11.0,15
9955,12.0,8.0,24.0,52.0,58.0,16.0,9
9956,12.0,8.0,24.0,52.0,58.0,3.0,9
9957,12.0,8.0,24.0,52.0,58.0,16.0,9
9958,12.0,8.0,24.0,52.0,58.0,3.0,9
9959,12.0,8.0,24.0,52.0,58.0,12.0,0
22957,10.0,34.0,14.0,50.0,54.0,12.0,2
22958,10.0,34.0,14.0,50.0,54.0,3.0,7
9960,12.0,8.0,24.0,52.0,58.0,9.0,11
9973,12.0,8.0,24.0,52.0,58.0,16.0,9
9984,12.0,8.0,24.0,52.0,58.0,17.0,2
20765,4.0,74.0,70.0,68.0,28.0,17.0,1
20766,4.0,74.0,70.0,68.0,28.0,16.0,10
20767,4.0,74.0,70.0,68.0,28.0,9.0,10
9961,12.0,8.0,24.0,52.0,58.0,11.0,15
9962,12.0,8.0,24.0,52.0,58.0,3.0,9
9963,12.0,8.0,24.0,52.0,58.0,11.0,15
9964,12.0,8.0,24.0,52.0,58.0,3.0,9
9965,12.0,8.0,24.0,52.0,58.0,2.0,12
9967,12.0,8.0,24.0,52.0,58.0,12.0,0
9985,12.0,8.0,24.0,52.0,58.0,3.0,9
9968,12.0,8.0,24.0,52.0,58.0,4.0,3
11719,58.0,46.0,90.0,42.0,86.0,4.0,8
9969,12.0,8.0,24.0,52.0,58.0,4.0,3
9970,12.0,8.0,24.0,52.0,58.0,14.0,16
9971,12.0,8.0,24.0,52.0,58.0,16.0,9
9972,12.0,8.0,24.0,52.0,58.0,3.0,9
9974,12.0,8.0,24.0,52.0,58.0,12.0,0
26889,32.0,2.0,50.0,0.0,10.0,12.0,3
26898,32.0,2.0,50.0,0.0,10.0,3.0,10
35788,92.0,78.0,58.0,84.0,72.0,3.0,9
35797,92.0,78.0,58.0,84.0,72.0,12.0,13
9975,12.0,8.0,24.0,52.0,58.0,7.0,6
9976,12.0,8.0,24.0,52.0,58.0,11.0,15
9983,12.0,8.0,24.0,52.0,58.0,5.0,11
9977,12.0,8.0,24.0,52.0,58.0,4.0,3
9978,12.0,8.0,24.0,52.0,58.0,5.0,11
9979,12.0,8.0,24.0,52.0,58.0,16.0,9
9980,12.0,8.0,24.0,52.0,58.0,2.0,12
9981,12.0,8.0,24.0,52.0,58.0,3.0,9
9982,12.0,8.0,24.0,52.0,58.0,16.0,9
9986,12.0,8.0,24.0,52.0,58.0,3.0,9
10004,12.0,8.0,24.0,52.0,58.0,2.0,12
10010,12.0,8.0,24.0,52.0,58.0,13.0,12
13406,4.0,20.0,10.0,16.0,34.0,3.0,6
13407,4.0,20.0,10.0,16.0,34.0,2.0,19
13415,4.0,20.0,10.0,16.0,34.0,13.0,18
63280,86.0,16.0,6.0,90.0,12.0,13.0,13
63281,86.0,16.0,6.0,90.0,12.0,3.0,14
63282,86.0,16.0,6.0,90.0,12.0,2.0,9
9987,12.0,8.0,24.0,52.0,58.0,0.0,3
9988,12.0,8.0,24.0,52.0,58.0,3.0,9
9989,12.0,8.0,24.0,52.0,58.0,19.0,5
57405,86.0,56.0,88.0,22.0,38.0,0.0,8
57424,86.0,56.0,88.0,22.0,38.0,3.0,9
57508,86.0,56.0,88.0,22.0,38.0,19.0,12
9990,12.0,8.0,24.0,52.0,58.0,3.0,9
